No,Sektor PDRB Lapangan Usaha series 2010,Bodebek (Kota Bekasi),Bodebek (Kab. Bekasi),Bodebek (Kota Depok),Bodebek (Kota Bogor),Bodebek (Kab. Bogor),Tangerang Raya (Tangsel),Tangerang Raya (Kota Tangerang),Tangerang Raya (Kab. Tangerang),DKI Jakarta
1,"Pertanian, Kehutanan dan Perikanan",0.68,1.31,1.51,0.92,6.19,0.97,1.85,7.68,0.11
2,Pertambangan dan Penggalian,-,2.83,-,-,6.72,-,-,0.11,0.48
3,Industri Pengolahan,1.41,3.21,1.27,0.75,2.24,0.80,1.51,1.59,0.51
4,Pengadaan Listrik dan Gas,2.72,01.09,0.51,9.33,0.31,9.90,0.31,3.23,0.52
5,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",1.59,0.46,1.45,02.01,2.22,2.14,1.54,1.55,0.83
6,Konstruksi,0.97,0.55,1.74,0.99,0.80,01.05,0.62,01.07,01.08
7,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",1.54,0.39,1.43,1.42,0.83,1.51,0.88,0.79,01.07
8,Transportasi dan Pergudangan,2.27,0.25,0.86,2.95,0.77,3.14,3.85,0.69,0.83
9,Penyediaan Akomodasi dan Makan Minum,0.96,0.12,0.82,1.13,0.63,1.20,0.37,0.37,1.23
10,Informasi dan Komunikasi,0.32,0.14,0.30,0.59,0.30,0.62,0.94,0.61,1.27
11,Jasa Keuangan dan Asuransi,0.34,0.11,0.48,0.86,0.06,0.91,0.34,0.59,1.31
12,Real Estate,0.33,0.08,0.32,0.41,0.16,0.44,1.22,1.52,1.23
13,Jasa Perusahaan,0.08,0.02,0.04,0.38,0.04,0.41,0.19,0.17,1.40
14,"Administrasi Pemerintah, Pertahanan dan Jaminan Sosial Wajib",0.56,0.20,0.77,0.89,0.49,0.94,0.35,0.45,1.25
15,Jasa Pendidikan,0.57,0.23,0.73,0.76,0.51,0.81,0.56,0.60,1.23
16,Jasa Kesehatan dan Kegiatan Sosial,0.90,0.17,0.83,0.93,0.42,0.99,0.68,0.32,1.23
17,Jasa Lainnya,0.95,0.19,1.29,0.98,0.60,01.05,0.43,0.45,1.21
